frequency	alpha_c	alpha_d	Er_right	Er_wrong
9.229E+00	0.890066618	0.516315374	1.884205636	1.872794201
9.251E+00	0.891126968	0.517546295	1.884155746	1.872794201
9.273E+00	0.892186057	0.518777216	1.884147962	1.872794201
9.295E+00	0.893243891	0.520008138	1.884143599	1.872794201
9.317E+00	0.894300473	0.521239059	1.884189201	1.872794201
9.339E+00	0.895355808	0.52246998	1.884170895	1.872794201
9.361E+00	0.896409901	0.523700901	1.884144749	1.872794201
9.383E+00	0.897462756	0.524931822	1.884103471	1.872794201
9.405E+00	0.898514378	0.526162743	1.884089912	1.872794201
9.427E+00	0.89956477	0.527393664	1.884045174	1.872794201
9.449E+00	0.900613936	0.528624585	1.883974885	1.872794201
9.471E+00	0.901661882	0.529855506	1.8839619	1.872794201
9.493E+00	0.902708612	0.531086427	1.883938896	1.872794201
9.515E+00	0.903754129	0.532317348	1.883913574	1.872794201
9.537E+00	0.904798438	0.533548269	1.883898057	1.872794201
9.559E+00	0.905841543	0.53477919	1.883889647	1.872794201
9.581E+00	0.906883449	0.536010111	1.883859359	1.872794201
9.603E+00	0.907924158	0.537241032	1.883823465	1.872794201
9.625E+00	0.908963676	0.538471953	1.883843606	1.872794201
9.647E+00	0.910002007	0.539702874	1.883834052	1.872794201
9.669E+00	0.911039154	0.540933796	1.883819349	1.872794201
9.691E+00	0.912075122	0.542164717	1.883792865	1.872794201
9.713E+00	0.913109915	0.543395638	1.883777755	1.872794201
9.735E+00	0.914143536	0.544626559	1.883768477	1.872794201
9.757E+00	0.915175989	0.54585748	1.88374805	1.872794201
9.779E+00	0.91620728	0.547088401	1.88371832	1.872794201
9.801E+00	0.91723741	0.548319322	1.88366773	1.872794201
9.823E+00	0.918266386	0.549550243	1.883646706	1.872794201
