frequency	alpha	beta
1.248536107e+10	1.737044	358.724796
1.250736347e+10	1.737967	359.355
1.252936587e+10	1.739972	359.987922
1.255136827e+10	1.742807	360.618498
1.257337067e+10	1.746557	361.247805
1.259537307e+10	1.748771	361.879434
1.261737548e+10	1.751409	362.513132
1.263937788e+10	1.753146	363.143474
1.266138028e+10	1.755695	363.774766
1.268338268e+10	1.763061	364.405656
1.270538508e+10	1.765144	365.038288
1.272738748e+10	1.771367	365.667742
1.274938988e+10	1.777031	366.293362
1.277139228e+10	1.779492	366.918981
1.279339468e+10	1.777526	367.547549
1.281539708e+10	1.777577	368.174792
1.283739948e+10	1.777112	368.804308
1.285940188e+10	1.776213	369.438433
1.288140428e+10	1.776874	370.070402
1.290340668e+10	1.778207	370.702277
1.292540908e+10	1.780882	371.330057
1.294741148e+10	1.782651	371.961019
1.296941388e+10	1.785597	372.5931
1.299141628e+10	1.786603	373.22715
1.301341868e+10	1.78852	373.85848
1.303542108e+10	1.791118	374.486938
1.305742348e+10	1.793792	375.11976
1.307942589e+10	1.79772	375.751106
1.310142829e+10	1.796389	376.385039
1.312343069e+10	1.799674	377.018148
1.314543309e+10	1.805411	377.648243
1.316743549e+10	1.80935	378.279114
1.318943789e+10	1.813446	378.909461
1.321144029e+10	1.815431	379.540671
1.323344269e+10	1.817474	380.170018
1.325544509e+10	1.819396	380.795942
1.327744749e+10	1.816792	381.427707
1.329944989e+10	1.818122	382.060627
1.332145229e+10	1.819434	382.692456
1.334345469e+10	1.819817	383.322839
1.336545709e+10	1.820573	383.955368
1.338745949e+10	1.825159	384.584399
1.340946189e+10	1.826666	385.217408
1.343146429e+10	1.826629	385.851884
1.345346669e+10	1.828322	386.484515
1.347546909e+10	1.83155	387.11541
1.349747149e+10	1.836701	387.744161
1.351947389e+10	1.838959	388.376414
1.354147630e+10	1.83974	389.008626
1.356347870e+10	1.841437	389.639658
1.358548110e+10	1.843417	390.272346
1.360748350e+10	1.847162	390.902362
1.362948590e+10	1.851042	391.529594
1.365148830e+10	1.84977	392.164104
1.367349070e+10	1.853003	392.791536
1.369549310e+10	1.853269	393.42542
1.371749550e+10	1.853155	394.059303
1.373949790e+10	1.856274	394.688558
1.376150030e+10	1.857807	395.320819
1.378350270e+10	1.860289	395.953408
1.380550510e+10	1.8599	396.587378
1.382750750e+10	1.86213	397.219143
1.384950990e+10	1.864782	397.849479
1.387151230e+10	1.867776	398.480604
1.389351470e+10	1.868926	399.113998
1.391551710e+10	1.872088	399.746281
1.393751950e+10	1.875759	400.378315
1.395952190e+10	1.879908	401.012266
1.398152430e+10	1.884272	401.645603
1.400352671e+10	1.888531	402.275628
1.402552911e+10	1.892239	402.906892
1.404753151e+10	1.896659	403.539726
1.406953391e+10	1.901234	404.166754
1.409153631e+10	1.902987	404.797134
1.411353871e+10	1.90719	405.430396
1.413554111e+10	1.910535	406.063432
1.415754351e+10	1.915552	406.692672
1.417954591e+10	1.922592	407.315919
1.420154831e+10	1.920449	407.944785
1.422355071e+10	1.917743	408.573657
1.424555311e+10	1.915596	409.204929
1.426755551e+10	1.917674	409.837488
1.428955791e+10	1.918498	410.469527
1.431156031e+10	1.918835	411.101132
1.433356271e+10	1.922517	411.729731
1.435556511e+10	1.923123	412.366342
1.437756751e+10	1.924411	412.99964
1.439956991e+10	1.927036	413.627088
1.442157231e+10	1.928233	414.263623
1.444357471e+10	1.93074	414.896826
1.446557712e+10	1.933174	415.529397
1.448757952e+10	1.935829	416.159959
1.450958192e+10	1.940303	416.789772
1.453158432e+10	1.940548	417.422186
1.455358672e+10	1.941979	418.053559
1.457558912e+10	1.941756	418.688783
1.459759152e+10	1.945724	419.323129
1.461959392e+10	1.950676	419.951724
1.464159632e+10	1.954179	420.581031
1.466359872e+10	1.954713	421.210337
1.468560112e+10	1.953853	421.838928
1.470760352e+10	1.955816	422.46816
1.472960592e+10	1.956652	423.100359
1.475160832e+10	1.956909	423.732966
